Èas príchodu k rampe; Poèet opráv
9. 1. 2017 7:43:20;3
9. 1. 2017 8:05:56;4
9. 1. 2017 8:45:27;5
9. 1. 2017 9:13:34;3
9. 1. 2017 9:26:18;4
9. 1. 2017 9:40:55;3
9. 1. 2017 9:52:10;1
9. 1. 2017 10:00:14;3
9. 1. 2017 10:23:11;3
9. 1. 2017 10:37:42;3
9. 1. 2017 11:01:25;4
9. 1. 2017 11:53:24;5
9. 1. 2017 12:05:05;2
9. 1. 2017 12:15:59;4
9. 1. 2017 12:27:58;3
9. 1. 2017 12:41:01;2
9. 1. 2017 12:41:18;3
9. 1. 2017 12:41:35;3
9. 1. 2017 13:06:23;2
9. 1. 2017 13:12:26;2
9. 1. 2017 13:28:23;3
9. 1. 2017 14:09:55;2
9. 1. 2017 14:13:58;4
9. 1. 2017 14:39:42;1
9. 1. 2017 14:57:15;3
10. 1. 2017 7:00:26;6
10. 1. 2017 7:25:01;2
10. 1. 2017 7:49:12;4
10. 1. 2017 7:50:20;2
10. 1. 2017 7:51:14;2
10. 1. 2017 8:27:15;3
10. 1. 2017 8:28:37;5
10. 1. 2017 9:44:34;3
10. 1. 2017 9:56:28;3
10. 1. 2017 10:04:24;3
10. 1. 2017 10:13:34;3
10. 1. 2017 10:17:02;3
10. 1. 2017 10:19:13;3
10. 1. 2017 10:24:16;4
10. 1. 2017 10:34:18;1
10. 1. 2017 10:40:32;3
10. 1. 2017 11:06:45;4
10. 1. 2017 11:39:56;3
10. 1. 2017 12:07:05;2
10. 1. 2017 12:44:28;2
10. 1. 2017 13:02:17;4
10. 1. 2017 13:43:56;2
10. 1. 2017 13:58:42;3
10. 1. 2017 13:59:07;4
11. 1. 2017 7:25:38;2
11. 1. 2017 7:50:06;4
11. 1. 2017 7:54:25;4
11. 1. 2017 7:57:12;3
11. 1. 2017 8:03:21;2
11. 1. 2017 8:12:03;4
11. 1. 2017 8:44:38;5
11. 1. 2017 8:46:33;5
11. 1. 2017 9:18:50;4
11. 1. 2017 9:33:46;2
11. 1. 2017 9:44:10;3
11. 1. 2017 9:46:58;4
11. 1. 2017 10:51:22;4
11. 1. 2017 10:55:53;5
11. 1. 2017 11:08:45;2
11. 1. 2017 11:17:51;3
11. 1. 2017 11:49:50;3
11. 1. 2017 12:14:29;3
11. 1. 2017 12:35:17;3
11. 1. 2017 12:58:59;4
11. 1. 2017 13:01:35;5
11. 1. 2017 13:13:25;4
11. 1. 2017 13:27:21;2
11. 1. 2017 13:47:43;3
11. 1. 2017 13:58:35;3
12. 1. 2017 7:21:45;4
12. 1. 2017 7:42:30;2
12. 1. 2017 8:31:16;5
12. 1. 2017 8:33:08;3
12. 1. 2017 8:59:20;2
12. 1. 2017 9:24:43;2
12. 1. 2017 10:01:11;4
12. 1. 2017 10:35:54;2
12. 1. 2017 10:48:27;3
12. 1. 2017 10:59:05;3
12. 1. 2017 11:33:45;4
12. 1. 2017 11:52:01;2
12. 1. 2017 12:37:56;3
12. 1. 2017 13:20:37;3
12. 1. 2017 13:27:15;4
12. 1. 2017 13:38:05;3
12. 1. 2017 13:49:27;3
12. 1. 2017 14:25:21;3
13. 1. 2017 7:40:17;5
13. 1. 2017 7:45:57;2
13. 1. 2017 7:47:41;2
13. 1. 2017 7:56:47;5
13. 1. 2017 9:25:20;4
13. 1. 2017 10:07:11;1
13. 1. 2017 10:10:11;4
13. 1. 2017 10:23:40;4
13. 1. 2017 10:33:11;2
13. 1. 2017 10:45:23;5
13. 1. 2017 10:47:45;2
13. 1. 2017 10:58:28;2
13. 1. 2017 11:33:02;4
13. 1. 2017 11:41:14;5
13. 1. 2017 11:58:55;2
13. 1. 2017 11:59:21;5
13. 1. 2017 12:04:21;3
13. 1. 2017 12:09:31;1
13. 1. 2017 12:51:30;2
13. 1. 2017 13:00:47;2
13. 1. 2017 13:03:25;3
13. 1. 2017 13:40:16;4
13. 1. 2017 13:43:06;3
13. 1. 2017 14:41:24;3
13. 1. 2017 14:50:46;1
13. 1. 2017 14:58:40;4
16. 1. 2017 7:05:24;2
16. 1. 2017 8:06:40;2
16. 1. 2017 8:43:57;2
16. 1. 2017 8:45:52;4
16. 1. 2017 8:46:51;1
16. 1. 2017 9:05:50;4
16. 1. 2017 9:17:18;4
16. 1. 2017 9:22:33;2
16. 1. 2017 9:28:23;2
16. 1. 2017 9:31:00;5
16. 1. 2017 9:33:44;2
16. 1. 2017 9:34:07;2
16. 1. 2017 10:16:28;4
16. 1. 2017 11:04:06;2
16. 1. 2017 11:13:12;2
16. 1. 2017 11:13:27;4
16. 1. 2017 11:16:03;3
16. 1. 2017 11:40:41;2
16. 1. 2017 11:52:34;2
16. 1. 2017 12:05:00;2
16. 1. 2017 12:33:52;3
16. 1. 2017 13:13:30;3
16. 1. 2017 13:57:39;2
16. 1. 2017 14:31:23;2
16. 1. 2017 14:34:12;4
16. 1. 2017 14:39:43;4
16. 1. 2017 14:40:24;3
16. 1. 2017 14:52:13;3
16. 1. 2017 14:57:03;3
16. 1. 2017 14:58:27;5
17. 1. 2017 7:01:51;3
17. 1. 2017 7:10:19;3
17. 1. 2017 7:23:44;2
17. 1. 2017 7:35:30;2
17. 1. 2017 7:42:24;4
17. 1. 2017 7:56:15;5
17. 1. 2017 8:36:19;4
17. 1. 2017 9:12:56;2
17. 1. 2017 9:20:20;5
17. 1. 2017 9:24:17;4
17. 1. 2017 9:26:38;4
17. 1. 2017 9:55:09;3
17. 1. 2017 10:13:22;2
17. 1. 2017 10:19:42;2
17. 1. 2017 10:57:11;3
17. 1. 2017 12:03:44;5
17. 1. 2017 12:04:00;2
17. 1. 2017 12:06:09;3
17. 1. 2017 12:29:14;2
17. 1. 2017 12:33:21;3
17. 1. 2017 12:40:31;4
17. 1. 2017 12:56:10;3
17. 1. 2017 13:08:21;3
17. 1. 2017 13:31:32;1
17. 1. 2017 13:32:32;2
17. 1. 2017 13:57:16;5
17. 1. 2017 14:07:02;2
17. 1. 2017 14:24:08;3
17. 1. 2017 14:37:35;2
18. 1. 2017 7:14:44;5
18. 1. 2017 7:56:33;2
18. 1. 2017 9:13:54;3
18. 1. 2017 9:35:02;3
18. 1. 2017 9:41:52;2
18. 1. 2017 9:53:41;6
18. 1. 2017 10:03:57;4
18. 1. 2017 10:49:31;3
18. 1. 2017 11:05:24;2
18. 1. 2017 11:30:19;3
18. 1. 2017 11:51:55;3
18. 1. 2017 11:54:39;2
18. 1. 2017 12:27:55;4
18. 1. 2017 12:59:04;1
18. 1. 2017 13:41:34;3
18. 1. 2017 13:53:44;4
18. 1. 2017 14:32:56;2
18. 1. 2017 14:43:31;3
19. 1. 2017 7:26:37;2
19. 1. 2017 7:31:13;3
19. 1. 2017 8:13:02;4
19. 1. 2017 8:21:51;3
19. 1. 2017 8:32:08;2
19. 1. 2017 8:37:41;2
19. 1. 2017 8:59:48;4
19. 1. 2017 11:24:46;2
19. 1. 2017 11:31:11;4
19. 1. 2017 11:35:06;2
19. 1. 2017 11:55:19;4
19. 1. 2017 12:05:05;4
19. 1. 2017 12:18:29;3
19. 1. 2017 12:24:14;3
19. 1. 2017 12:25:32;2
19. 1. 2017 12:29:22;2
19. 1. 2017 12:34:46;4
19. 1. 2017 13:00:37;3
19. 1. 2017 13:17:13;5
19. 1. 2017 13:33:05;3
19. 1. 2017 14:00:37;3
19. 1. 2017 14:01:04;3
19. 1. 2017 14:09:51;2
19. 1. 2017 14:10:10;2
19. 1. 2017 14:22:21;4
19. 1. 2017 14:36:23;4
20. 1. 2017 7:55:14;4
20. 1. 2017 7:56:24;3
20. 1. 2017 8:12:33;1
20. 1. 2017 8:24:47;3
20. 1. 2017 8:39:39;2
20. 1. 2017 8:43:55;4
20. 1. 2017 8:54:01;2
20. 1. 2017 8:54:11;5
20. 1. 2017 9:09:12;4
20. 1. 2017 9:14:20;3
20. 1. 2017 9:28:00;3
20. 1. 2017 9:36:45;3
20. 1. 2017 9:54:22;2
20. 1. 2017 10:08:27;3
20. 1. 2017 10:25:47;2
20. 1. 2017 11:09:07;3
20. 1. 2017 11:11:39;2
20. 1. 2017 11:17:02;2
20. 1. 2017 12:06:56;3
20. 1. 2017 12:48:29;2
20. 1. 2017 13:38:35;2
20. 1. 2017 13:44:16;4
20. 1. 2017 14:18:56;2
20. 1. 2017 14:31:16;4
20. 1. 2017 14:36:54;4
20. 1. 2017 14:49:14;2
23. 1. 2017 8:21:46;5
23. 1. 2017 8:40:25;2
23. 1. 2017 8:53:30;1
23. 1. 2017 9:22:33;2
23. 1. 2017 9:45:08;5
23. 1. 2017 9:54:09;2
23. 1. 2017 10:01:55;4
23. 1. 2017 10:10:55;1
23. 1. 2017 10:11:17;2
23. 1. 2017 11:49:48;5
23. 1. 2017 12:14:44;3
23. 1. 2017 12:34:01;2
23. 1. 2017 12:41:45;5
23. 1. 2017 12:44:27;2
23. 1. 2017 12:45:33;2
23. 1. 2017 13:01:34;2
23. 1. 2017 13:13:48;4
23. 1. 2017 13:50:19;3
23. 1. 2017 13:51:06;2
24. 1. 2017 7:01:05;3
24. 1. 2017 7:09:32;2
24. 1. 2017 7:18:13;2
24. 1. 2017 7:20:22;2
24. 1. 2017 7:54:07;2
24. 1. 2017 8:08:35;4
24. 1. 2017 8:21:15;2
24. 1. 2017 8:44:32;6
24. 1. 2017 8:47:09;3
24. 1. 2017 9:20:58;4
24. 1. 2017 9:23:52;2
24. 1. 2017 9:41:16;3
24. 1. 2017 9:45:07;3
24. 1. 2017 10:20:31;2
24. 1. 2017 10:22:18;1
24. 1. 2017 10:29:53;3
24. 1. 2017 10:51:51;2
24. 1. 2017 11:40:27;1
24. 1. 2017 11:46:10;4
24. 1. 2017 11:47:11;4
24. 1. 2017 12:12:25;4
24. 1. 2017 12:13:17;2
24. 1. 2017 12:17:42;2
24. 1. 2017 12:46:11;3
24. 1. 2017 13:00:56;4
24. 1. 2017 13:15:57;3
24. 1. 2017 13:53:06;4
24. 1. 2017 14:13:58;2
24. 1. 2017 14:15:46;2
24. 1. 2017 14:17:49;2
24. 1. 2017 14:20:05;2
24. 1. 2017 14:31:42;4
24. 1. 2017 14:41:43;4
24. 1. 2017 14:46:00;1
25. 1. 2017 7:02:17;5
25. 1. 2017 7:09:36;2
25. 1. 2017 7:18:33;3
25. 1. 2017 7:25:00;2
25. 1. 2017 7:39:36;4
25. 1. 2017 7:57:08;3
25. 1. 2017 9:24:23;3
25. 1. 2017 9:47:06;3
25. 1. 2017 9:52:57;2
25. 1. 2017 10:16:27;5
25. 1. 2017 10:50:52;4
25. 1. 2017 10:53:13;5
25. 1. 2017 11:12:00;2
25. 1. 2017 11:50:57;3
25. 1. 2017 12:11:46;3
25. 1. 2017 12:23:25;2
25. 1. 2017 12:34:22;4
25. 1. 2017 12:46:08;4
25. 1. 2017 13:32:52;1
25. 1. 2017 14:00:54;3
25. 1. 2017 14:07:53;3
25. 1. 2017 14:12:00;4
25. 1. 2017 14:28:14;2
25. 1. 2017 14:31:18;2
26. 1. 2017 7:04:27;4
26. 1. 2017 7:11:04;2
26. 1. 2017 7:35:59;1
26. 1. 2017 8:32:53;2
26. 1. 2017 9:08:38;5
26. 1. 2017 9:09:31;3
26. 1. 2017 9:17:09;3
26. 1. 2017 9:23:16;4
26. 1. 2017 9:33:33;1
26. 1. 2017 9:35:35;2
26. 1. 2017 9:54:38;3
26. 1. 2017 10:28:40;1
26. 1. 2017 10:33:22;4
26. 1. 2017 10:59:16;3
26. 1. 2017 11:30:09;5
26. 1. 2017 11:33:10;2
26. 1. 2017 12:01:48;3
26. 1. 2017 12:10:46;3
26. 1. 2017 12:16:07;1
26. 1. 2017 12:20:53;5
26. 1. 2017 12:39:44;5
26. 1. 2017 13:07:14;2
26. 1. 2017 13:15:30;2
26. 1. 2017 14:20:00;5
26. 1. 2017 14:26:51;2
26. 1. 2017 14:59:23;5
27. 1. 2017 7:15:43;1
27. 1. 2017 7:30:39;2
27. 1. 2017 8:01:59;2
27. 1. 2017 8:22:11;2
27. 1. 2017 8:40:20;2
27. 1. 2017 8:41:54;3
27. 1. 2017 10:01:45;2
27. 1. 2017 10:02:49;1
27. 1. 2017 10:06:55;4
27. 1. 2017 10:20:44;3
27. 1. 2017 10:24:14;3
27. 1. 2017 10:40:45;2
27. 1. 2017 10:50:58;3
27. 1. 2017 11:19:43;2
27. 1. 2017 11:59:46;3
27. 1. 2017 12:03:20;4
27. 1. 2017 12:17:33;5
27. 1. 2017 12:28:25;3
27. 1. 2017 12:49:48;2
27. 1. 2017 12:59:18;3
27. 1. 2017 13:12:12;2
27. 1. 2017 13:39:53;3
30. 1. 2017 7:10:53;2
30. 1. 2017 7:16:59;2
30. 1. 2017 7:38:54;5
30. 1. 2017 7:43:59;2
30. 1. 2017 7:47:55;4
30. 1. 2017 7:51:40;2
30. 1. 2017 8:11:44;2
30. 1. 2017 8:34:43;5
30. 1. 2017 10:00:02;4
30. 1. 2017 10:40:40;5
30. 1. 2017 11:20:07;2
30. 1. 2017 11:39:58;3
30. 1. 2017 11:49:35;5
30. 1. 2017 11:55:53;4
30. 1. 2017 12:09:08;2
30. 1. 2017 12:17:38;3
30. 1. 2017 12:32:48;2
30. 1. 2017 12:57:41;3
30. 1. 2017 13:10:48;5
30. 1. 2017 14:03:46;2
30. 1. 2017 14:29:58;2
30. 1. 2017 14:44:02;5
30. 1. 2017 14:53:01;3
31. 1. 2017 7:17:39;2
31. 1. 2017 7:23:00;2
31. 1. 2017 7:47:39;3
31. 1. 2017 8:17:53;3
31. 1. 2017 8:25:52;2
31. 1. 2017 8:47:24;5
31. 1. 2017 9:01:54;3
31. 1. 2017 9:20:07;2
31. 1. 2017 9:21:47;3
31. 1. 2017 9:34:47;2
31. 1. 2017 10:02:52;3
31. 1. 2017 10:23:00;4
31. 1. 2017 10:24:17;5
31. 1. 2017 10:30:53;1
31. 1. 2017 10:59:00;3
31. 1. 2017 11:03:20;4
31. 1. 2017 11:36:45;3
31. 1. 2017 11:53:51;4
31. 1. 2017 12:47:50;6
31. 1. 2017 13:02:56;2
31. 1. 2017 13:07:32;2
31. 1. 2017 13:23:55;2
31. 1. 2017 13:26:24;2
31. 1. 2017 13:48:07;2
31. 1. 2017 14:01:49;3
1. 2. 2017 7:33:20;4
1. 2. 2017 7:51:59;2
1. 2. 2017 8:29:11;2
1. 2. 2017 8:30:28;3
1. 2. 2017 8:47:01;5
1. 2. 2017 9:12:26;3
1. 2. 2017 10:39:52;4
1. 2. 2017 10:42:06;3
1. 2. 2017 10:59:44;3
1. 2. 2017 11:22:32;4
1. 2. 2017 11:24:28;5
1. 2. 2017 11:39:17;6
1. 2. 2017 11:40:36;3
1. 2. 2017 12:02:24;4
1. 2. 2017 12:06:54;6
1. 2. 2017 12:09:10;2
1. 2. 2017 12:28:57;2
1. 2. 2017 13:20:15;2
1. 2. 2017 13:51:53;2
1. 2. 2017 13:53:57;3
1. 2. 2017 14:04:40;1
1. 2. 2017 14:21:58;4
1. 2. 2017 14:33:16;3
2. 2. 2017 7:26:58;2
2. 2. 2017 8:00:31;3
2. 2. 2017 8:03:44;2
2. 2. 2017 8:07:42;4
2. 2. 2017 8:46:24;3
2. 2. 2017 9:18:03;2
2. 2. 2017 9:27:31;3
2. 2. 2017 9:37:54;3
2. 2. 2017 10:05:44;3
2. 2. 2017 10:55:40;3
2. 2. 2017 10:59:30;1
2. 2. 2017 11:01:33;1
2. 2. 2017 11:28:47;3
2. 2. 2017 11:44:04;2
2. 2. 2017 11:58:08;5
2. 2. 2017 12:39:08;4
2. 2. 2017 12:57:35;5
2. 2. 2017 13:22:30;2
2. 2. 2017 13:39:05;2
2. 2. 2017 14:03:44;3
2. 2. 2017 14:04:31;5
2. 2. 2017 14:36:20;1
3. 2. 2017 7:23:15;3
3. 2. 2017 7:32:29;2
3. 2. 2017 7:37:29;4
3. 2. 2017 7:38:08;2
3. 2. 2017 7:50:12;3
3. 2. 2017 8:15:14;2
3. 2. 2017 8:35:55;3
3. 2. 2017 9:15:39;2
3. 2. 2017 9:21:01;4
3. 2. 2017 9:21:26;3
3. 2. 2017 9:31:12;3
3. 2. 2017 10:07:11;1
3. 2. 2017 10:22:37;2
3. 2. 2017 10:32:33;4
3. 2. 2017 10:59:08;2
3. 2. 2017 11:00:17;3
3. 2. 2017 12:16:39;4
3. 2. 2017 12:17:27;3
3. 2. 2017 12:19:48;4
3. 2. 2017 12:22:19;3
3. 2. 2017 12:49:51;3
3. 2. 2017 13:26:43;3
3. 2. 2017 13:32:29;3
3. 2. 2017 13:37:38;4
3. 2. 2017 13:42:08;3
6. 2. 2017 7:27:07;4
6. 2. 2017 7:53:26;3
6. 2. 2017 7:57:44;2
6. 2. 2017 7:58:56;1
6. 2. 2017 8:24:51;3
6. 2. 2017 9:06:00;1
6. 2. 2017 9:11:26;2
6. 2. 2017 9:28:51;4
6. 2. 2017 10:03:10;3
6. 2. 2017 10:18:39;3
6. 2. 2017 10:39:58;3
6. 2. 2017 10:57:24;3
6. 2. 2017 11:28:47;4
6. 2. 2017 11:36:56;1
6. 2. 2017 12:04:39;4
6. 2. 2017 12:32:06;2
6. 2. 2017 12:56:28;3
6. 2. 2017 13:08:03;4
6. 2. 2017 13:21:25;2
6. 2. 2017 13:21:39;2
6. 2. 2017 13:35:02;2
6. 2. 2017 13:49:21;3
6. 2. 2017 14:48:49;2
7. 2. 2017 7:10:48;2
7. 2. 2017 7:18:06;3
7. 2. 2017 8:04:04;1
7. 2. 2017 8:50:10;2
7. 2. 2017 9:09:45;3
7. 2. 2017 10:03:40;4
7. 2. 2017 10:20:44;4
7. 2. 2017 11:01:17;2
7. 2. 2017 11:55:17;2
7. 2. 2017 12:01:01;2
7. 2. 2017 12:05:56;5
7. 2. 2017 12:12:56;2
7. 2. 2017 12:34:59;5
7. 2. 2017 13:03:06;2
7. 2. 2017 13:03:38;5
7. 2. 2017 13:14:55;3
7. 2. 2017 13:19:25;5
7. 2. 2017 13:40:59;2
7. 2. 2017 13:58:19;2
7. 2. 2017 14:13:23;2
7. 2. 2017 14:21:25;3
7. 2. 2017 14:30:17;3
7. 2. 2017 14:49:35;3
8. 2. 2017 7:54:37;3
8. 2. 2017 8:14:51;3
8. 2. 2017 8:22:46;3
8. 2. 2017 8:33:42;2
8. 2. 2017 8:47:32;2
8. 2. 2017 8:51:07;3
8. 2. 2017 8:58:19;3
8. 2. 2017 9:13:23;4
8. 2. 2017 9:59:07;5
8. 2. 2017 9:59:17;4
8. 2. 2017 10:13:54;3
8. 2. 2017 10:21:41;4
8. 2. 2017 10:25:03;2
8. 2. 2017 10:34:20;2
8. 2. 2017 11:14:05;4
8. 2. 2017 11:24:13;3
8. 2. 2017 11:55:33;3
8. 2. 2017 12:02:55;4
8. 2. 2017 12:21:49;4
8. 2. 2017 13:00:51;4
8. 2. 2017 13:24:37;3
8. 2. 2017 14:05:43;2
8. 2. 2017 14:40:10;2
9. 2. 2017 7:37:15;5
9. 2. 2017 7:59:58;3
9. 2. 2017 8:14:36;4
9. 2. 2017 8:22:32;4
9. 2. 2017 8:22:34;6
9. 2. 2017 8:46:12;2
9. 2. 2017 9:32:41;2
9. 2. 2017 9:50:40;2
9. 2. 2017 9:51:23;4
9. 2. 2017 9:55:46;3
9. 2. 2017 9:57:34;4
9. 2. 2017 10:34:21;1
9. 2. 2017 11:18:56;2
9. 2. 2017 11:30:48;6
9. 2. 2017 11:47:01;3
9. 2. 2017 11:51:54;4
9. 2. 2017 12:12:53;4
9. 2. 2017 12:21:17;3
9. 2. 2017 12:23:30;4
9. 2. 2017 13:37:55;2
9. 2. 2017 14:07:41;3
9. 2. 2017 14:51:33;4
10. 2. 2017 7:01:09;3
10. 2. 2017 7:11:44;3
10. 2. 2017 7:32:39;3
10. 2. 2017 8:02:57;4
10. 2. 2017 8:19:50;2
10. 2. 2017 8:34:28;4
10. 2. 2017 8:38:37;2
