Èas príchodu k rampe; Poèet opráv
10. 2. 2017 8:39:51;4
10. 2. 2017 9:16:24;4
10. 2. 2017 10:11:37;4
10. 2. 2017 10:17:21;2
10. 2. 2017 10:23:47;4
10. 2. 2017 10:45:09;2
10. 2. 2017 11:15:18;3
10. 2. 2017 11:28:36;3
10. 2. 2017 12:04:55;5
10. 2. 2017 12:23:12;2
10. 2. 2017 12:29:48;4
10. 2. 2017 12:47:31;5
10. 2. 2017 13:00:51;4
10. 2. 2017 13:16:08;3
10. 2. 2017 13:24:55;3
10. 2. 2017 13:50:52;1
10. 2. 2017 14:44:01;2
13. 2. 2017 7:53:52;2
13. 2. 2017 7:55:59;3
13. 2. 2017 7:56:50;2
13. 2. 2017 8:02:58;2
13. 2. 2017 8:09:53;1
13. 2. 2017 8:53:17;4
13. 2. 2017 9:23:54;3
13. 2. 2017 9:36:38;3
13. 2. 2017 10:24:29;4
13. 2. 2017 10:34:37;2
13. 2. 2017 10:36:45;3
13. 2. 2017 11:25:42;2
13. 2. 2017 11:49:28;5
13. 2. 2017 12:16:46;4
13. 2. 2017 12:34:42;2
13. 2. 2017 12:53:02;4
13. 2. 2017 13:09:22;3
13. 2. 2017 13:23:41;2
13. 2. 2017 13:28:20;2
13. 2. 2017 13:32:14;2
13. 2. 2017 14:19:06;5
13. 2. 2017 14:28:20;2
13. 2. 2017 14:33:55;2
13. 2. 2017 14:50:17;5
13. 2. 2017 14:55:45;2
14. 2. 2017 7:04:56;2
14. 2. 2017 8:18:59;3
14. 2. 2017 8:42:30;2
14. 2. 2017 9:27:07;4
14. 2. 2017 10:04:21;4
14. 2. 2017 10:35:04;1
14. 2. 2017 11:19:05;3
14. 2. 2017 11:23:17;1
14. 2. 2017 11:43:25;2
14. 2. 2017 11:45:35;3
14. 2. 2017 12:00:46;3
14. 2. 2017 12:27:57;3
14. 2. 2017 12:39:48;3
14. 2. 2017 12:42:25;3
14. 2. 2017 12:44:09;3
14. 2. 2017 12:46:02;2
14. 2. 2017 13:19:37;3
14. 2. 2017 13:32:58;3
14. 2. 2017 13:44:32;2
14. 2. 2017 14:28:27;3
14. 2. 2017 14:49:56;1
15. 2. 2017 7:03:32;3
15. 2. 2017 7:21:18;2
15. 2. 2017 7:40:15;2
15. 2. 2017 8:11:38;5
15. 2. 2017 8:33:51;4
15. 2. 2017 8:52:01;3
15. 2. 2017 8:58:00;2
15. 2. 2017 9:37:35;4
15. 2. 2017 9:43:12;3
15. 2. 2017 10:13:31;4
15. 2. 2017 10:36:43;5
15. 2. 2017 10:44:08;3
15. 2. 2017 11:20:17;3
15. 2. 2017 11:34:10;2
15. 2. 2017 11:38:54;3
15. 2. 2017 11:39:11;3
15. 2. 2017 11:41:06;4
15. 2. 2017 11:42:21;4
15. 2. 2017 11:53:00;3
15. 2. 2017 12:49:14;3
15. 2. 2017 13:31:32;5
15. 2. 2017 13:56:22;4
15. 2. 2017 14:32:52;4
15. 2. 2017 14:34:09;4
15. 2. 2017 14:35:18;2
15. 2. 2017 14:46:22;2
16. 2. 2017 7:19:37;5
16. 2. 2017 7:33:10;4
16. 2. 2017 8:01:09;2
16. 2. 2017 8:03:34;4
16. 2. 2017 8:06:08;5
16. 2. 2017 8:07:46;3
16. 2. 2017 8:13:07;2
16. 2. 2017 8:50:12;1
16. 2. 2017 8:55:23;2
16. 2. 2017 8:58:35;2
16. 2. 2017 9:08:45;5
16. 2. 2017 9:25:45;5
16. 2. 2017 9:44:04;1
16. 2. 2017 9:58:17;2
16. 2. 2017 10:00:12;3
16. 2. 2017 10:08:28;1
16. 2. 2017 10:12:25;4
16. 2. 2017 10:23:26;4
16. 2. 2017 10:24:51;4
16. 2. 2017 11:03:44;5
16. 2. 2017 11:04:17;5
16. 2. 2017 11:12:34;4
16. 2. 2017 11:14:03;2
16. 2. 2017 11:16:37;2
16. 2. 2017 11:22:15;4
16. 2. 2017 11:27:25;4
16. 2. 2017 12:35:39;3
16. 2. 2017 12:41:35;3
16. 2. 2017 12:46:16;3
16. 2. 2017 12:56:16;5
16. 2. 2017 13:01:24;3
16. 2. 2017 13:04:07;3
16. 2. 2017 13:17:54;2
16. 2. 2017 13:57:17;3
16. 2. 2017 14:04:32;4
16. 2. 2017 14:14:56;3
16. 2. 2017 14:20:13;2
16. 2. 2017 14:44:26;3
17. 2. 2017 7:05:58;5
17. 2. 2017 7:06:17;3
17. 2. 2017 7:34:26;2
17. 2. 2017 7:50:35;3
17. 2. 2017 8:21:08;3
17. 2. 2017 9:36:46;2
17. 2. 2017 10:14:15;3
17. 2. 2017 10:17:45;4
17. 2. 2017 10:22:28;3
17. 2. 2017 10:30:35;3
17. 2. 2017 11:20:07;2
17. 2. 2017 12:03:10;2
17. 2. 2017 12:12:25;4
17. 2. 2017 12:16:01;2
17. 2. 2017 12:47:32;4
17. 2. 2017 13:16:23;4
17. 2. 2017 13:38:34;3
17. 2. 2017 13:45:58;2
17. 2. 2017 13:58:24;1
17. 2. 2017 14:09:49;3
17. 2. 2017 14:27:05;4
17. 2. 2017 14:35:06;1
17. 2. 2017 14:52:33;3
17. 2. 2017 14:55:36;3
20. 2. 2017 7:47:26;2
20. 2. 2017 7:51:01;1
20. 2. 2017 8:36:30;2
20. 2. 2017 8:38:56;2
20. 2. 2017 9:14:15;2
20. 2. 2017 9:17:22;2
20. 2. 2017 9:39:19;4
20. 2. 2017 9:50:20;5
20. 2. 2017 9:57:46;3
20. 2. 2017 10:05:51;5
20. 2. 2017 10:06:04;2
20. 2. 2017 10:28:49;4
20. 2. 2017 11:04:40;1
20. 2. 2017 11:05:13;4
20. 2. 2017 11:10:09;4
20. 2. 2017 11:10:55;2
20. 2. 2017 11:24:28;4
20. 2. 2017 11:25:21;3
20. 2. 2017 11:58:32;2
20. 2. 2017 12:00:51;2
20. 2. 2017 12:04:31;4
20. 2. 2017 12:25:02;2
20. 2. 2017 12:28:16;3
20. 2. 2017 12:54:09;3
20. 2. 2017 13:23:56;3
20. 2. 2017 14:30:50;3
20. 2. 2017 14:45:55;3
20. 2. 2017 14:46:27;2
20. 2. 2017 14:49:49;5
21. 2. 2017 7:11:24;2
21. 2. 2017 7:38:24;3
21. 2. 2017 7:40:25;5
21. 2. 2017 7:58:04;4
21. 2. 2017 8:00:04;4
21. 2. 2017 8:17:59;4
21. 2. 2017 8:28:11;2
21. 2. 2017 8:31:25;4
21. 2. 2017 8:33:45;5
21. 2. 2017 8:50:19;2
21. 2. 2017 8:55:30;2
21. 2. 2017 9:13:13;1
21. 2. 2017 10:17:19;2
21. 2. 2017 10:17:26;2
21. 2. 2017 11:38:03;4
21. 2. 2017 12:22:47;4
21. 2. 2017 12:30:03;1
21. 2. 2017 12:43:50;2
21. 2. 2017 13:06:30;5
21. 2. 2017 13:20:33;2
21. 2. 2017 14:00:09;3
22. 2. 2017 7:12:58;2
22. 2. 2017 7:19:31;4
22. 2. 2017 7:20:50;3
22. 2. 2017 7:37:05;2
22. 2. 2017 7:58:01;4
22. 2. 2017 8:06:40;3
22. 2. 2017 8:36:57;3
22. 2. 2017 8:45:59;3
22. 2. 2017 9:58:13;4
22. 2. 2017 10:03:25;2
22. 2. 2017 10:18:34;3
22. 2. 2017 10:26:07;4
22. 2. 2017 10:46:03;2
22. 2. 2017 11:08:55;3
22. 2. 2017 11:43:48;2
22. 2. 2017 11:44:28;5
22. 2. 2017 12:33:06;3
22. 2. 2017 13:00:47;3
22. 2. 2017 13:18:23;4
22. 2. 2017 13:31:12;2
22. 2. 2017 13:31:41;2
22. 2. 2017 13:42:20;4
22. 2. 2017 13:45:57;4
22. 2. 2017 13:57:25;3
22. 2. 2017 14:38:09;2
22. 2. 2017 14:48:40;4
22. 2. 2017 14:51:34;5
23. 2. 2017 7:39:25;2
23. 2. 2017 7:47:41;2
23. 2. 2017 8:34:43;3
23. 2. 2017 8:46:20;2
23. 2. 2017 8:51:38;5
23. 2. 2017 9:46:29;2
23. 2. 2017 9:53:07;3
23. 2. 2017 9:54:58;4
23. 2. 2017 10:00:10;3
23. 2. 2017 10:14:09;2
23. 2. 2017 10:15:19;3
23. 2. 2017 10:35:26;4
23. 2. 2017 10:42:59;2
23. 2. 2017 11:00:36;3
23. 2. 2017 11:03:40;3
23. 2. 2017 11:13:07;3
23. 2. 2017 11:21:12;2
23. 2. 2017 12:10:11;3
23. 2. 2017 12:24:00;3
23. 2. 2017 12:34:07;3
23. 2. 2017 13:15:54;3
23. 2. 2017 13:18:31;4
23. 2. 2017 13:29:12;5
23. 2. 2017 13:40:09;2
23. 2. 2017 14:10:15;4
23. 2. 2017 14:13:19;5
23. 2. 2017 14:16:07;3
23. 2. 2017 14:26:27;3
23. 2. 2017 14:31:21;2
23. 2. 2017 14:53:51;3
24. 2. 2017 7:08:53;5
24. 2. 2017 7:13:26;4
24. 2. 2017 7:20:58;3
24. 2. 2017 8:34:41;2
24. 2. 2017 8:38:35;3
24. 2. 2017 9:02:10;1
24. 2. 2017 9:04:32;4
24. 2. 2017 9:10:48;3
24. 2. 2017 9:48:54;3
24. 2. 2017 10:00:10;3
24. 2. 2017 10:10:50;4
24. 2. 2017 10:34:35;3
24. 2. 2017 11:17:09;4
24. 2. 2017 11:37:36;4
24. 2. 2017 11:53:42;2
24. 2. 2017 12:24:51;5
24. 2. 2017 12:25:34;2
24. 2. 2017 12:33:53;1
24. 2. 2017 12:39:26;2
24. 2. 2017 13:39:31;4
24. 2. 2017 13:45:24;1
24. 2. 2017 14:10:57;4
24. 2. 2017 14:31:04;3
24. 2. 2017 14:54:41;4
27. 2. 2017 7:15:04;3
27. 2. 2017 7:15:29;3
27. 2. 2017 7:15:53;4
27. 2. 2017 7:36:26;3
27. 2. 2017 8:16:49;2
27. 2. 2017 8:39:52;3
27. 2. 2017 8:42:26;4
27. 2. 2017 9:13:55;1
27. 2. 2017 9:27:31;5
27. 2. 2017 9:38:11;2
27. 2. 2017 10:36:05;3
27. 2. 2017 11:02:48;3
27. 2. 2017 13:14:32;5
27. 2. 2017 13:18:22;2
27. 2. 2017 13:32:22;2
27. 2. 2017 13:36:14;4
27. 2. 2017 14:13:58;1
27. 2. 2017 14:52:22;2
28. 2. 2017 7:01:12;2
28. 2. 2017 7:03:27;1
28. 2. 2017 7:21:34;2
28. 2. 2017 7:30:51;1
28. 2. 2017 8:07:45;1
28. 2. 2017 8:10:54;2
28. 2. 2017 8:28:08;3
28. 2. 2017 8:37:08;2
28. 2. 2017 8:37:17;4
28. 2. 2017 8:37:23;3
28. 2. 2017 9:27:48;4
28. 2. 2017 9:59:42;2
28. 2. 2017 10:05:05;5
28. 2. 2017 10:23:23;3
28. 2. 2017 10:25:06;4
28. 2. 2017 10:27:46;2
28. 2. 2017 10:33:53;4
28. 2. 2017 11:08:37;1
28. 2. 2017 11:16:03;2
28. 2. 2017 11:20:08;1
28. 2. 2017 11:23:15;5
28. 2. 2017 12:29:42;4
28. 2. 2017 13:13:33;4
28. 2. 2017 13:25:06;4
28. 2. 2017 13:26:58;4
28. 2. 2017 13:35:37;2
28. 2. 2017 13:53:58;2
28. 2. 2017 13:57:59;5
28. 2. 2017 14:02:54;2
28. 2. 2017 14:18:58;1
28. 2. 2017 14:58:42;4
1. 3. 2017 7:20:05;1
1. 3. 2017 7:24:29;3
1. 3. 2017 7:32:31;2
1. 3. 2017 7:44:37;5
1. 3. 2017 7:46:35;3
1. 3. 2017 7:55:30;5
1. 3. 2017 9:21:06;2
1. 3. 2017 9:43:04;3
1. 3. 2017 9:52:52;2
1. 3. 2017 10:18:46;2
1. 3. 2017 10:19:50;2
1. 3. 2017 11:04:43;5
1. 3. 2017 11:25:09;3
1. 3. 2017 11:49:35;3
1. 3. 2017 11:54:49;2
1. 3. 2017 12:17:45;3
1. 3. 2017 12:32:56;3
1. 3. 2017 12:37:18;5
1. 3. 2017 12:42:41;4
1. 3. 2017 12:55:56;5
1. 3. 2017 13:07:23;5
1. 3. 2017 13:16:09;4
1. 3. 2017 13:17:54;2
1. 3. 2017 13:23:53;4
1. 3. 2017 13:32:31;4
1. 3. 2017 14:37:41;2
1. 3. 2017 14:45:59;3
2. 3. 2017 7:21:30;2
2. 3. 2017 7:44:35;5
2. 3. 2017 7:47:09;3
2. 3. 2017 7:55:44;5
2. 3. 2017 7:58:56;1
2. 3. 2017 8:28:51;4
2. 3. 2017 8:29:31;6
2. 3. 2017 9:22:23;2
2. 3. 2017 10:00:22;2
2. 3. 2017 10:35:31;4
2. 3. 2017 10:55:54;3
2. 3. 2017 11:59:14;2
2. 3. 2017 12:05:28;3
2. 3. 2017 12:29:37;2
2. 3. 2017 12:30:24;3
2. 3. 2017 12:50:35;2
2. 3. 2017 13:12:41;4
2. 3. 2017 13:48:28;3
2. 3. 2017 14:09:09;2
3. 3. 2017 7:00:05;5
3. 3. 2017 7:33:31;3
3. 3. 2017 7:52:18;5
3. 3. 2017 7:55:51;5
3. 3. 2017 7:59:34;5
3. 3. 2017 8:18:41;2
3. 3. 2017 8:23:35;5
3. 3. 2017 9:19:44;4
3. 3. 2017 9:39:57;2
3. 3. 2017 9:48:50;2
3. 3. 2017 10:03:37;2
3. 3. 2017 10:05:22;3
3. 3. 2017 10:38:06;3
3. 3. 2017 10:42:59;1
3. 3. 2017 11:09:24;3
3. 3. 2017 11:10:23;2
3. 3. 2017 11:36:53;2
3. 3. 2017 11:41:15;3
3. 3. 2017 11:46:57;2
3. 3. 2017 11:57:29;1
3. 3. 2017 13:24:04;2
3. 3. 2017 13:29:27;2
3. 3. 2017 13:31:35;3
3. 3. 2017 14:02:20;2
3. 3. 2017 14:22:30;3
3. 3. 2017 14:32:35;3
6. 3. 2017 7:10:09;3
6. 3. 2017 7:20:10;3
6. 3. 2017 7:53:33;3
6. 3. 2017 8:14:05;4
6. 3. 2017 8:24:21;2
6. 3. 2017 9:28:49;3
6. 3. 2017 9:40:11;4
6. 3. 2017 10:11:28;3
6. 3. 2017 10:40:38;2
6. 3. 2017 10:41:06;4
6. 3. 2017 10:56:14;2
6. 3. 2017 11:03:16;3
6. 3. 2017 11:47:29;3
6. 3. 2017 11:50:15;3
6. 3. 2017 11:52:08;3
6. 3. 2017 11:54:14;3
6. 3. 2017 12:00:26;3
6. 3. 2017 12:13:18;2
6. 3. 2017 12:23:44;4
6. 3. 2017 12:24:01;2
6. 3. 2017 12:34:57;2
6. 3. 2017 12:58:40;4
6. 3. 2017 13:11:49;3
6. 3. 2017 14:00:50;3
6. 3. 2017 14:30:15;3
7. 3. 2017 7:17:49;2
7. 3. 2017 7:20:39;2
7. 3. 2017 7:26:09;3
7. 3. 2017 8:40:08;2
7. 3. 2017 9:06:58;2
7. 3. 2017 9:45:58;3
7. 3. 2017 10:00:56;3
7. 3. 2017 10:07:28;3
7. 3. 2017 10:21:40;4
7. 3. 2017 10:35:29;2
7. 3. 2017 10:43:17;3
7. 3. 2017 10:52:41;3
7. 3. 2017 11:01:49;2
7. 3. 2017 11:22:52;5
7. 3. 2017 11:29:30;5
7. 3. 2017 11:50:17;4
7. 3. 2017 12:05:39;2
7. 3. 2017 12:33:36;3
7. 3. 2017 13:46:55;3
7. 3. 2017 14:04:46;3
7. 3. 2017 14:18:41;2
8. 3. 2017 7:19:21;5
8. 3. 2017 7:36:20;2
8. 3. 2017 7:47:38;4
8. 3. 2017 7:54:33;2
8. 3. 2017 8:44:03;3
8. 3. 2017 8:54:13;5
8. 3. 2017 9:21:37;4
8. 3. 2017 10:13:12;2
8. 3. 2017 10:15:35;4
8. 3. 2017 10:21:35;2
8. 3. 2017 11:02:31;2
8. 3. 2017 11:37:25;3
8. 3. 2017 12:11:19;3
8. 3. 2017 12:49:02;3
8. 3. 2017 13:04:56;2
8. 3. 2017 13:36:21;3
8. 3. 2017 13:40:37;3
8. 3. 2017 14:01:45;6
8. 3. 2017 14:08:36;2
8. 3. 2017 14:24:41;1
8. 3. 2017 14:37:28;4
8. 3. 2017 14:53:43;2
9. 3. 2017 7:48:14;2
9. 3. 2017 8:05:06;4
9. 3. 2017 8:27:10;4
9. 3. 2017 8:35:40;5
9. 3. 2017 8:59:57;3
9. 3. 2017 9:25:13;2
9. 3. 2017 9:30:34;4
9. 3. 2017 9:57:07;2
9. 3. 2017 10:10:49;2
9. 3. 2017 10:16:55;3
9. 3. 2017 10:31:02;4
9. 3. 2017 12:25:33;3
9. 3. 2017 12:30:23;2
9. 3. 2017 12:39:37;4
9. 3. 2017 13:39:13;3
9. 3. 2017 13:50:54;3
9. 3. 2017 13:52:15;4
9. 3. 2017 13:54:23;4
9. 3. 2017 14:24:18;3
9. 3. 2017 14:34:01;3
9. 3. 2017 14:53:19;1
9. 3. 2017 14:54:52;2
10. 3. 2017 7:21:28;3
10. 3. 2017 7:33:20;5
10. 3. 2017 7:59:11;4
10. 3. 2017 8:26:10;3
10. 3. 2017 8:33:28;2
10. 3. 2017 8:52:24;4
10. 3. 2017 9:56:52;3
10. 3. 2017 9:59:37;3
10. 3. 2017 10:00:17;4
10. 3. 2017 10:30:22;4
10. 3. 2017 10:40:09;3
10. 3. 2017 11:48:21;5
10. 3. 2017 11:57:22;2
10. 3. 2017 12:00:43;3
10. 3. 2017 12:03:03;2
10. 3. 2017 12:40:52;2
10. 3. 2017 12:49:10;4
10. 3. 2017 12:51:36;2
10. 3. 2017 13:06:24;4
10. 3. 2017 13:08:09;3
10. 3. 2017 13:08:29;2
10. 3. 2017 13:13:07;3
10. 3. 2017 13:27:59;3
10. 3. 2017 13:55:32;5
10. 3. 2017 14:05:33;5
10. 3. 2017 14:12:21;3
10. 3. 2017 14:22:28;3
13. 3. 2017 7:29:21;2
13. 3. 2017 7:37:23;2
13. 3. 2017 7:42:47;3
13. 3. 2017 7:58:14;2
13. 3. 2017 8:06:11;3
13. 3. 2017 8:06:22;4
13. 3. 2017 9:11:57;2
13. 3. 2017 9:14:24;3
13. 3. 2017 9:23:40;2
13. 3. 2017 9:26:22;4
13. 3. 2017 9:43:36;2
13. 3. 2017 10:46:30;3
13. 3. 2017 10:59:20;2
13. 3. 2017 11:09:51;2
13. 3. 2017 11:19:25;3
13. 3. 2017 11:38:11;3
13. 3. 2017 11:47:46;4
13. 3. 2017 11:59:32;5
13. 3. 2017 12:08:33;3
13. 3. 2017 12:09:52;2
13. 3. 2017 13:07:18;2
13. 3. 2017 13:29:14;4
13. 3. 2017 13:37:07;2
13. 3. 2017 13:42:55;2
13. 3. 2017 13:48:41;2
13. 3. 2017 14:00:35;4
13. 3. 2017 14:16:41;5
13. 3. 2017 14:26:28;2
13. 3. 2017 14:27:22;5
13. 3. 2017 14:46:47;4
14. 3. 2017 7:01:52;2
14. 3. 2017 7:13:05;2
14. 3. 2017 7:13:42;3
14. 3. 2017 7:18:49;2
14. 3. 2017 8:08:14;2
14. 3. 2017 9:34:07;3
14. 3. 2017 10:46:08;4
14. 3. 2017 11:41:29;3
14. 3. 2017 11:57:00;2
14. 3. 2017 12:27:46;2
14. 3. 2017 12:29:36;3
14. 3. 2017 13:00:21;3
14. 3. 2017 13:13:07;4
14. 3. 2017 13:30:44;3
14. 3. 2017 13:34:14;4
14. 3. 2017 13:43:44;5
14. 3. 2017 14:38:20;2
14. 3. 2017 14:41:13;2
15. 3. 2017 7:09:25;2
15. 3. 2017 7:29:44;4
15. 3. 2017 7:50:06;5
15. 3. 2017 7:50:09;6
15. 3. 2017 8:17:27;2
15. 3. 2017 9:32:32;4
15. 3. 2017 9:47:30;4
15. 3. 2017 9:56:36;2
15. 3. 2017 10:52:51;4
15. 3. 2017 11:14:07;2
15. 3. 2017 11:25:46;3
15. 3. 2017 11:46:57;3
15. 3. 2017 11:57:22;4
15. 3. 2017 12:09:14;4
15. 3. 2017 12:17:01;2
15. 3. 2017 12:36:24;2
15. 3. 2017 13:53:01;2
15. 3. 2017 14:09:51;4
15. 3. 2017 14:13:02;2
15. 3. 2017 14:25:13;4
